121.37	87.56	39.6	17.44	5.48	0	0	0	0	0	0	0	0	0	0	0
87.56	121.37	87.56	39.6	10.19	5.48	0	0	0	0	0	0	0	0	0	0
39.6	87.56	121.37	87.56	22.68	10.19	5.48	0	0	0	0	0	0	0	0	0
17.44	39.6	87.56	121.37	54.67	22.68	10.19	5.48	0	0	0	0	0	0	0	0
5.48	10.19	22.68	54.67	121.37	87.56	39.6	17.44	5.48	0	0	0	0	0	0	0
0	5.48	10.19	22.68	87.56	121.37	87.56	39.6	10.19	5.48	0	0	0	0	0	0
0	0	5.48	10.19	39.6	87.56	121.37	87.56	22.68	10.19	5.48	0	0	0	0	0
0	0	0	5.48	17.44	39.6	87.56	121.37	54.67	22.68	10.19	5.48	0	0	0	0
0	0	0	0	5.48	10.19	22.68	54.67	121.37	87.56	39.6	17.44	5.48	0	0	0
0	0	0	0	0	5.48	10.19	22.68	87.56	121.37	87.56	39.6	10.19	5.48	0	0
0	0	0	0	0	0	5.48	10.19	39.6	87.56	121.37	87.56	22.68	10.19	5.48	0
0	0	0	0	0	0	0	5.48	17.44	39.6	87.56	121.37	54.67	22.68	10.19	5.48
0	0	0	0	0	0	0	0	5.48	10.19	22.68	54.67	121.37	87.56	39.6	17.44
0	0	0	0	0	0	0	0	0	5.48	10.19	22.68	87.56	121.37	87.56	39.6
0	0	0	0	0	0	0	0	0	0	5.48	10.19	39.6	87.56	121.37	87.56
0	0	0	0	0	0	0	0	0	0	0	5.48	17.44	39.6	87.56	121.37
